accuracy,loss,val_accuracy,val_loss,learning_rate
0.8241491913795471,0.44148439168930054,0.8422872424125671,0.40123164653778076,0.0010000000474974513
0.8435818552970886,0.39250320196151733,0.8431926965713501,0.3870428502559662,0.0010000000474974513
0.8440002799034119,0.3832201659679413,0.8430554866790771,0.38238832354545593,0.0010000000474974513
0.8446176052093506,0.37829405069351196,0.8433024287223816,0.3779168128967285,0.0010000000474974513
0.8448851108551025,0.37519779801368713,0.8434670567512512,0.37514200806617737,0.0010000000474974513
0.8451251983642578,0.3726426064968109,0.8448663949966431,0.3720686137676239,0.0010000000474974513
0.8456190824508667,0.3709036707878113,0.844454824924469,0.37052688002586365,0.0010000000474974513
0.845989465713501,0.3693932890892029,0.8445371389389038,0.36954620480537415,0.0010000000474974513
0.8462844491004944,0.365103155374527,0.8472534418106079,0.3578489124774933,0.0010000000474974513
0.8494500517845154,0.3521181046962738,0.8510398864746094,0.343818336725235,0.0010000000474974513
0.8543030619621277,0.3419068455696106,0.8609175086021423,0.3349948525428772,0.0010000000474974513
0.861196756362915,0.3349708914756775,0.8651155233383179,0.32860150933265686,0.0010000000474974513
0.8689032793045044,0.33047980070114136,0.8647588491439819,0.32680073380470276,0.0010000000474974513
0.8776935935020447,0.32669201493263245,0.8867914080619812,0.32123127579689026,0.0010000000474974513
0.8866004943847656,0.32322537899017334,0.8996049165725708,0.3168868124485016,0.0010000000474974513
0.8920914530754089,0.3206791877746582,0.892086923122406,0.31562748551368713,0.0010000000474974513
0.8963580131530762,0.31828072667121887,0.8972727060317993,0.31465715169906616,0.0010000000474974513
0.8977435827255249,0.31618428230285645,0.8957635760307312,0.31202268600463867,0.0010000000474974513
0.8978842496871948,0.3144064247608185,0.8846787214279175,0.3153209686279297,0.0010000000474974513
0.8976612687110901,0.3130301833152771,0.9025407433509827,0.3064858913421631,0.0010000000474974513
0.8989337086677551,0.31120821833610535,0.9007573127746582,0.3049607574939728,0.0010000000474974513
0.8996162414550781,0.30939415097236633,0.902732789516449,0.30420857667922974,0.0010000000474974513
0.8992561101913452,0.30782756209373474,0.9013334512710571,0.304961234331131,0.0010000000474974513
0.8998048305511475,0.3063914477825165,0.8977940082550049,0.304004430770874,0.0010000000474974513
0.8997568488121033,0.30543848872184753,0.9041047096252441,0.30150553584098816,0.0010000000474974513
0.9000586271286011,0.3041050434112549,0.9023486971855164,0.29846715927124023,0.0010000000474974513
0.9006999731063843,0.30262547731399536,0.8981781005859375,0.2984660267829895,0.0010000000474974513
0.9008989334106445,0.3021092116832733,0.8969708681106567,0.30254268646240234,0.0010000000474974513
0.9015162587165833,0.3010167181491852,0.9018822312355042,0.2990000545978546,0.0010000000474974513
0.9014751315116882,0.29994943737983704,0.8970257639884949,0.29687076807022095,0.0010000000474974513
0.9014922380447388,0.2992706298828125,0.9040772914886475,0.29497501254081726,0.0010000000474974513
0.9018592238426208,0.2982063889503479,0.9080283045768738,0.2954925000667572,0.0010000000474974513
0.9022365212440491,0.29747626185417175,0.9030895233154297,0.29348263144493103,0.0010000000474974513
0.9023290872573853,0.2971620261669159,0.9035010933876038,0.2915303409099579,0.0010000000474974513
0.9023427963256836,0.29616114497184753,0.9043242335319519,0.29212167859077454,0.0010000000474974513
0.9030836224555969,0.2952486574649811,0.9041321277618408,0.2931923270225525,0.0010000000474974513
0.902949869632721,0.2947690188884735,0.9037205576896667,0.29193544387817383,0.0010000000474974513
0.9032413959503174,0.2940328121185303,0.9103605151176453,0.29235947132110596,0.0010000000474974513
0.9042428731918335,0.29145291447639465,0.9103056788444519,0.2889189124107361,0.0005000000237487257
0.9041159749031067,0.29106903076171875,0.902732789516449,0.2910473048686981,0.0005000000237487257
0.9045103788375854,0.29060855507850647,0.9039400815963745,0.28689199686050415,0.0005000000237487257
0.9046647548675537,0.2902207374572754,0.9065741300582886,0.28692951798439026,0.0005000000237487257
0.9046167135238647,0.28975334763526917,0.9056137800216675,0.28737059235572815,0.0005000000237487257
0.9048876762390137,0.2894747853279114,0.9057784080505371,0.28683406114578247,0.0005000000237487257
0.9050900340080261,0.2893501818180084,0.9088240265846252,0.28671547770500183,0.0005000000237487257
0.9049939513206482,0.2890635132789612,0.9046260118484497,0.28550007939338684,0.0005000000237487257
0.9048190712928772,0.2886785566806793,0.9037754535675049,0.28829702734947205,0.0005000000237487257
0.9052443504333496,0.28825685381889343,0.9049003720283508,0.28620079159736633,0.0005000000237487257
0.9051105976104736,0.28811952471733093,0.9072874784469604,0.2856839597225189,0.0005000000237487257
0.9055084586143494,0.28773921728134155,0.9029797315597534,0.2866799831390381,0.0005000000237487257
