sample_id,true_label,true_class,temperature,pressure,humidity,temp_diff,press_diff,hum_diff,temp_roll_std,temp_mean_5,hum_mean_5
0,1,Attack,24.950000762939453,1009.75,83.45999908447266,0.029999999329447746,-0.03999999910593033,0.0,0.04549725353717804,24.97800064086914,83.45999908447266
1,1,Attack,33.849998474121094,1005.8699951171875,46.529998779296875,0.07999999821186066,0.029999999329447746,0.0,0.04690415784716606,33.810001373291016,46.529998779296875
2,1,Attack,30.56999969482422,1006.9600219726562,87.19999694824219,0.10999999940395355,-0.019999999552965164,-0.3499999940395355,0.05403702333569527,30.54199981689453,87.26200103759766
3,1,Attack,9.630000114440918,1005.6099853515625,69.12999725341797,-19.809999465942383,0.019999999552965164,-0.4000000059604645,14.113985061645508,29.538000106811523,68.85199737548828
4,1,Attack,18.549999237060547,1007.3400268554688,75.19000244140625,-9.75,0.019999999552965164,0.4000000059604645,8.346162796020508,26.285999298095703,74.98200225830078
5,1,Attack,26.440000534057617,1007.469970703125,79.16000366210938,10.350000381469727,-0.009999999776482582,-1.090000033378601,7.181275844573975,26.341999053955078,79.18000030517578
6,0,Normal,26.719999313354492,1005.969970703125,75.41000366210938,-0.14000000059604645,-0.009999999776482582,0.3100000023841858,0.15323184430599213,26.663999557495117,75.53199768066406
7,0,Normal,28.190000534057617,1007.7999877929688,70.29000091552734,0.12999999523162842,0.03999999910593033,0.9300000071525574,0.11510864645242691,28.149999618530273,69.50800323486328
8,1,Attack,26.729999542236328,1007.969970703125,62.2599983215332,0.0,-0.009999999776482582,-0.11999999731779099,0.06648308038711548,26.76799964904785,62.36600112915039
9,0,Normal,25.989999771118164,1010.1199951171875,80.5,0.10999999940395355,0.009999999776482582,-0.1899999976158142,0.12529964745044708,25.829999923706055,80.35199737548828
10,0,Normal,31.93000030517578,1008.7100219726562,52.790000915527344,-0.10000000149011612,-0.029999999329447746,0.23000000417232513,0.07758866250514984,32.051998138427734,52.81800079345703
11,1,Attack,34.880001068115234,1034.1575927734375,43.16999816894531,-0.15000000596046448,0.7310882210731506,-0.09000000357627869,0.0936482772231102,34.88800048828125,42.95000076293945
12,1,Attack,30.690000534057617,1008.1799926757812,61.9900016784668,9.949999809265137,0.009999999776482582,-0.14000000059604645,7.036019325256348,30.738000869750977,62.257999420166016
13,0,Normal,24.81999969482422,1007.6599731445312,83.33999633789062,-0.17000000178813934,0.019999999552965164,0.3799999952316284,0.11649034172296524,24.802000045776367,83.18399810791016
14,1,Attack,33.953125,1008.22998046875,49.79999923706055,0.05285744369029999,-0.029999999329447746,0.5,0.28336700797080994,33.6903190612793,49.448001861572266
15,1,Attack,34.369998931884766,1005.77001953125,46.38999938964844,-0.2199999988079071,0.0,0.0,0.14758048951625824,34.58399963378906,46.38999938964844
16,0,Normal,33.2599983215332,1009.5499877929688,50.22999954223633,0.09000000357627869,-0.019999999552965164,0.46000000834465027,0.0785493478178978,33.27199935913086,49.928001403808594
17,1,Attack,31.469999313354492,1033.124755859375,58.88999938964844,0.28999999165534973,0.31921929121017456,-0.10999999940395355,0.15706686675548553,31.422000885009766,58.566001892089844
18,0,Normal,29.790000915527344,1009.72998046875,64.43000030517578,0.20999999344348907,0.0,-0.18000000715255737,0.0785493478178978,29.687999725341797,64.41200256347656
19,0,Normal,26.3799991607666,1005.4600219726562,84.43000030517578,0.11999999731779099,-0.019999999552965164,-0.14000000059604645,0.10894952714443207,26.288000106811523,84.49800109863281
20,1,Attack,27.93000030517578,1008.8800048828125,47.36000061035156,0.07999999821186066,-0.009999999776482582,-0.25,0.06260990351438522,27.871999740600586,47.45800018310547
21,1,Attack,26.559999465942383,1004.9099731445312,50.04999923706055,-0.07000000029802322,0.009999999776482582,0.23999999463558197,0.0725947692990303,26.591999053955078,49.85200119018555
22,1,Attack,38.49879455566406,1007.719970703125,49.75,-0.03767675533890724,-0.009999999776482582,0.27000001072883606,0.2826771140098572,38.332435607910156,49.74599838256836
23,1,Attack,24.309999465942383,1008.4099731445312,70.44999694824219,-0.12999999523162842,0.0,-0.5699999928474426,0.08336666226387024,24.440000534057617,70.86000061035156
24,0,Normal,27.700000762939453,1007.6799926757812,71.58999633789062,-0.12999999523162842,-0.019999999552965164,-0.8199999928474426,0.12949903309345245,27.892000198364258,72.13600158691406
25,0,Normal,34.91999816894531,1009.0999755859375,50.34000015258789,0.1599999964237213,0.0,0.4099999964237213,0.12497999519109726,34.79800033569336,50.17399978637695
26,0,Normal,35.349998474121094,1009.1500244140625,51.84000015258789,-0.029999999329447746,0.009999999776482582,-0.11999999731779099,0.12275993078947067,35.231998443603516,51.72800064086914
27,1,Attack,32.86000061035156,1008.3099975585938,53.7257194519043,0.15000000596046448,0.019999999552965164,9.241402626037598,0.09833616018295288,32.768001556396484,49.69303894042969
28,0,Normal,26.40999984741211,1009.8499755859375,80.80999755859375,0.1599999964237213,0.0,-0.05999999865889549,0.1161034032702446,26.426000595092773,80.5979995727539
29,0,Normal,24.229999542236328,1006.9199829101562,83.19000244140625,0.03999999910593033,-0.009999999776482582,0.029999999329447746,0.08876936137676239,24.243999481201172,83.46399688720703
30,0,Normal,35.400001525878906,1008.719970703125,45.86000061035156,-0.10999999940395355,-0.009999999776482582,0.3799999952316284,0.08443932980298996,35.44599914550781,45.582000732421875
